Method,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Voting,0.5611365472663614,0.7121160985487681,0.14762471139718744,0.2445526193787668,0.5
Avg Scores,0.4771747912739025,0.47907857795216996,0.9909046386342966,0.6458865377599416,0.15288600451820314
Threshold,0.430211419337463,0.4104274435066703,0.4218848387322466,0.41607728135242367,0.5
Stacking,0.5240035012119579,0.6498054474708171,0.023368082278038202,0.04511379752819612,0.5
