,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Isolation Forest,Isolation Forest,0.5611365472663614,0.7121160985487681,0.14762471139718744,0.2445526193787668,0.15244168728766316
LOF,LOF,0.480810665230272,0.30999663412992257,0.06443713706009935,0.10669601482854495,0.543730366061748
AE Baseline,AE Baseline,0.5240035012119579,0.6498054474708171,0.023368082278038202,0.04511379752819612,0.4005214423247479
